brand_name,goods_price,goods_slogan,goods_title
Creer Beaute 克丽贝蒂,32.03,平价版前男友面膜,Creer Beaute 克丽贝蒂 凡尔赛深层美白面膜 白色 1片
ROHTO 乐敦,90.63,一天一片祛痘美白,ROHTO 乐敦 CC美白祛斑祛痘印面膜 20片
ISHIZAWA LABS 石泽研究所,81.45,没有最白只有更白,ISHIZAWA LABS 石泽研究所 透明白肌滋润美白面膜 10片装
KOSE 高丝,48.02,日本最人气面膜之一,KOSE 高丝 Clear Turn皇家豪华版果冻面膜 玻尿酸 4片
KOSE 高丝,19.13,7天改变皮肤基底,KOSE 高丝 babyish婴儿肌面膜 高保湿润泽型 7片
BCL,84.43,清晨来一片,BCL Saborino早安面膜 滋润牛油果 32片
SPC,77.63,超大容量蛇毒面膜,SPC 蛇毒面膜 50片装
QUALITY 皇后秘密,49,“膜”力防初老,QUALITY 皇后秘密 超保湿抗老化面膜 豪华版 5片
KRACIE 肌美精,67.9,细节全覆盖渗透保湿,KRACIE 肌美精 超渗透3D保湿面膜 4片
Creer Beaute 克丽贝蒂,32.03,平价版前男友面膜,Creer Beaute 克丽贝蒂 凡尔赛深层保湿面膜 红色 1片
LULULUN,17.79,出门气色急救能手,LULULUN 限定 One night一夜急救应急面膜 1片
KOSE 高丝,26.13,每天5分钟，努力白一点,KOSE 高丝 babyish婴儿肌面膜 美白型 7片
ISHIZAWA LABS 石泽研究所,81.20,平价版SK-II,ISHIZAWA LABS 石泽研究所 毛孔抚子日本大米面膜 10片
BCL,101.75,清洁保湿一步到位,BCL Saborino早安面膜 白色限定 奇异果美白 28片
QUALITY 皇后秘密,39.2,全面提升面部轮廓,QUALITY 皇后秘密 缩毛孔提升面膜 豪华版 5片
QUALITY 皇后秘密,39.2,敷出无暇亮白美肌,QUALITY 皇后秘密 美白亮肤面膜 豪华版 5片
GHASSOUL,57.97,拜拜草莓鼻,GHASSOUL 摩洛哥粘土面膜毛孔黑头清洁 150g
